[2025-06-11 08:53:12] [class-ss-archive-creation-job.php:119] Starting a job; no job is presently running
[2025-06-11 08:53:13] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/demo/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-to-bottom-right.min.css
[2025-06-11 08:53:13] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/demo/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-to-top-right.css
[2025-06-11 08:53:13] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/demo/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-to-top-right.min.css
[2025-06-11 08:53:13] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/demo/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-top.css
[2025-06-11 08:53:13] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/demo/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-top.min.css
[2025-06-11 08:53:13] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/demo/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-vertical.css
[2025-06-11 08:53:13] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/demo/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-vertical.min.css
[2025-06-11 08:53:13] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/demo/wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.css
[2025-06-11 08:53:13] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/demo/wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.min.css
[2025-06-11 08:53:13] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/demo/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInDown.css
[2025-06-11 08:53:13] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/demo/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInDown.min.css
[2025-06-11 08:53:13] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/demo/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInLeft.css
[2025-06-11 08:53:13] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/demo/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInLeft.min.css
[2025-06-11 08:53:13] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/demo/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInRight.css
[2025-06-11 08:53:13] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/demo/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInRight.min.css
